[2026-02-04 23:26:09] [INFO    ] discord.client: logging in using static token
[2026-02-04 23:26:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-02-04 23:26:09] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-02-04 23:26:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1432212560454750269', 'username': 'DraftBot', 'avatar': 'bf74e5d78a1f583e27e1d1f876d5a346', 'discriminator': '5539', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-02-04 23:26:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-02-04 23:26:10] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-02-04 23:26:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1432212560454750269', 'name': 'DraftBot', 'icon': 'bf74e5d78a1f583e27e1d1f876d5a346', 'description': '', 'type': None, 'bot': {'id': '1432212560454750269', 'username': 'DraftBot', 'avatar': 'bf74e5d78a1f583e27e1d1f876d5a346', 'discriminator': '5539', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'd332a20da3563160f813ef5b32a059efef5588b084dbcc4502638d98d203f0ee', 'flags': 11042816, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '418935853407010842', 'username': 'dc33.', 'avatar': '15ee57bd639367390299e8ca02746b4d', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Dc', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '111504456838819840', 'identity_enabled': True, 'tag': 'PKMN', 'badge': 'f8e9d20c610bcdfc007cdeee70ad76fb'}, 'primary_guild': {'identity_guild_id': '111504456838819840', 'identity_enabled': True, 'tag': 'PKMN', 'badge': 'f8e9d20c610bcdfc007cdeee70ad76fb'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2528, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-02-04 23:26:10] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-02-04 23:26:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-4q94",{"micros":0.0}]']}}
[2026-02-04 23:26:10] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-02-04 23:26:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-04 23:26:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'DraftBot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1432212560454750269', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5539', 'clan': None, 'bot': True, 'avatar': 'bf74e5d78a1f583e27e1d1f876d5a346'}, 'session_type': 'normal', 'session_id': '94a0f20e1d242cda1adf52a57c65171a', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '837478665309913088'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-east', 'atlanta', 'newark', 'us-central', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1432212560454750269', 'flags': 11042816}, '_trace': ['["gateway-prd-arm-us-east1-c-4q94",{"micros":362219,"calls":["id_created",{"micros":579,"calls":[]},"session_lookup_time",{"micros":262,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-161",{"micros":360060,"calls":["start_session",{"micros":332091,"calls":["discord-api-rpc-54cf9cf94f-b6lrc",{"micros":178259,"calls":["get_user",{"micros":41447},"get_guilds",{"micros":61572},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":731},"apex_experiments",{"micros":115901},"user_activities",{"micros":5},"played_application_ids",{"micros":11},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":2}]}]},"starting_guild_connect",{"micros":39,"calls":[]},"presence_started",{"micros":10803,"calls":[]},"guilds_started",{"micros":75,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":17010,"calls":[]},"connect_finished",{"micros":17024,"calls":[]},"build_ready",{"micros":24,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-02-04 23:26:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-04 23:26:10] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 94a0f20e1d242cda1adf52a57c65171a).
[2026-02-04 23:26:10] [DEBUG   ] discord.client: Dispatching event connect
